Date : 2020-07-09 20:26:01
Directory : c:\Workspace\weatherapp
Total : 53 files,  13217 codes, 183 comments, 246 blanks, all 13646 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| filename                                                                                  | language    | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| c:\Workspace\weatherapp\.eslintrc.js                                                      | JavaScript  |          4 |          0 |          1 |          5 |
| c:\Workspace\weatherapp\.gitattributes                                                    | Properties  |          1 |          0 |          1 |          2 |
| c:\Workspace\weatherapp\.prettierrc.js                                                    | JavaScript  |          6 |          0 |          1 |          7 |
| c:\Workspace\weatherapp\.watchmanconfig                                                   | JSON        |          1 |          0 |          0 |          1 |
| c:\Workspace\weatherapp\App.js                                                            | JavaScript  |         12 |          7 |          5 |         24 |
| c:\Workspace\weatherapp\__tests__\App-test.js                                             | JavaScript  |          7 |          4 |          4 |         15 |
| c:\Workspace\weatherapp\android\app\build.gradle                                          | Groovy      |         87 |        111 |         23 |        221 |
| c:\Workspace\weatherapp\android\app\src\debug\AndroidManifest.xml                         | XML         |          6 |          0 |          3 |          9 |
| c:\Workspace\weatherapp\android\app\src\debug\java\com\weatherapp\ReactNativeFlipper.java | Java        |         59 |          8 |          6 |         73 |
| c:\Workspace\weatherapp\android\app\src\main\AndroidManifest.xml                          | XML         |         24 |          0 |          4 |         28 |
| c:\Workspace\weatherapp\android\app\src\main\java\com\weatherapp\MainActivity.java        | Java        |          8 |          4 |          4 |         16 |
| c:\Workspace\weatherapp\android\app\src\main\java\com\weatherapp\MainApplication.java     | Java        |         59 |         13 |          9 |         81 |
| c:\Workspace\weatherapp\android\app\src\main\res\values\strings.xml                       | XML         |          3 |          0 |          1 |          4 |
| c:\Workspace\weatherapp\android\app\src\main\res\values\styles.xml                        | XML         |          5 |          2 |          3 |         10 |
| c:\Workspace\weatherapp\android\build.gradle                                              | Groovy      |         29 |          5 |          4 |         38 |
| c:\Workspace\weatherapp\android\gradle.properties                                         | Properties  |          3 |         19 |          7 |         29 |
| c:\Workspace\weatherapp\android\gradle\wrapper\gradle-wrapper.properties                  | Properties  |          5 |          0 |          1 |          6 |
| c:\Workspace\weatherapp\android\gradlew.bat                                               | Batch       |         78 |          0 |         26 |        104 |
| c:\Workspace\weatherapp\android\settings.gradle                                           | Groovy      |          3 |          0 |          1 |          4 |
| c:\Workspace\weatherapp\app.json                                                          | JSON        |          4 |          0 |          0 |          4 |
| c:\Workspace\weatherapp\babel.config.js                                                   | JavaScript  |          3 |          0 |          1 |          4 |
| c:\Workspace\weatherapp\index.js                                                          | JavaScript  |          4 |          3 |          3 |         10 |
| c:\Workspace\weatherapp\ios\weatherappTests\weatherappTests.m                             | Objective-C |         51 |          0 |         15 |         66 |
| c:\Workspace\weatherapp\ios\weatherapp\AppDelegate.h                                      | C++         |          5 |          0 |          4 |          9 |
| c:\Workspace\weatherapp\ios\weatherapp\AppDelegate.m                                      | Objective-C |         48 |          0 |         11 |         59 |
| c:\Workspace\weatherapp\ios\weatherapp\Images.xcassets\AppIcon.appiconset\Contents.json   | JSON        |         38 |          0 |          0 |         38 |
| c:\Workspace\weatherapp\ios\weatherapp\Images.xcassets\Contents.json                      | JSON        |          6 |          0 |          1 |          7 |
| c:\Workspace\weatherapp\ios\weatherapp\LaunchScreen.storyboard                            | XML         |         57 |          1 |          1 |         59 |
| c:\Workspace\weatherapp\ios\weatherapp\main.m                                             | Objective-C |          7 |          0 |          3 |         10 |
| c:\Workspace\weatherapp\metro.config.js                                                   | JavaScript  |         10 |          6 |          2 |         18 |
| c:\Workspace\weatherapp\package-lock.json                                                 | JSON        |     12,158 |          0 |          1 |     12,159 |
| c:\Workspace\weatherapp\package.json                                                      | JSON        |         45 |          0 |          1 |         46 |
| c:\Workspace\weatherapp\src\api\auth.js                                                   | JavaScript  |         18 |          0 |          3 |         21 |
| c:\Workspace\weatherapp\src\components\Button\index.js                                    | JavaScript  |         12 |          0 |          3 |         15 |
| c:\Workspace\weatherapp\src\components\Button\styles.js                                   | JavaScript  |         14 |          0 |          3 |         17 |
| c:\Workspace\weatherapp\src\components\Header\index.js                                    | JavaScript  |          8 |          0 |          3 |         11 |
| c:\Workspace\weatherapp\src\components\Header\styles.js                                   | JavaScript  |          7 |          0 |          2 |          9 |
| c:\Workspace\weatherapp\src\components\InputArea\index.js                                 | JavaScript  |          8 |          0 |          4 |         12 |
| c:\Workspace\weatherapp\src\components\InputArea\styles.js                                | JavaScript  |         10 |          0 |          2 |         12 |
| c:\Workspace\weatherapp\src\components\index.js                                           | JavaScript  |          4 |          0 |          3 |          7 |
| c:\Workspace\weatherapp\src\forms\LoginForm\index.js                                      | JavaScript  |         35 |          0 |          8 |         43 |
| c:\Workspace\weatherapp\src\forms\LoginForm\styles.js                                     | JavaScript  |          9 |          0 |          2 |         11 |
| c:\Workspace\weatherapp\src\navigation\index.js                                           | JavaScript  |         64 |          0 |         14 |         78 |
| c:\Workspace\weatherapp\src\reducers\login.js                                             | JavaScript  |         51 |          0 |         12 |         63 |
| c:\Workspace\weatherapp\src\reducers\rootReducer.js                                       | JavaScript  |          7 |          0 |          3 |         10 |
| c:\Workspace\weatherapp\src\reducers\weather.js                                           | JavaScript  |         45 |          0 |          7 |         52 |
| c:\Workspace\weatherapp\src\screens\Home\index.js                                         | JavaScript  |         16 |          0 |          4 |         20 |
| c:\Workspace\weatherapp\src\screens\Home\styles.js                                        | JavaScript  |         10 |          0 |          3 |         13 |
| c:\Workspace\weatherapp\src\screens\Login\index.js                                        | JavaScript  |         15 |          0 |          5 |         20 |
| c:\Workspace\weatherapp\src\screens\Login\styles.js                                       | JavaScript  |         10 |          0 |          3 |         13 |
| c:\Workspace\weatherapp\src\screens\Profile\index.js                                      | JavaScript  |         21 |          0 |          8 |         29 |
| c:\Workspace\weatherapp\src\screens\Profile\styles.js                                     | JavaScript  |         11 |          0 |          3 |         14 |
| c:\Workspace\weatherapp\src\store\index.js                                                | JavaScript  |          6 |          0 |          4 |         10 |
| Total                                                                                     |             |     13,217 |        183 |        246 |     13,646 |
+-------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
